State,District,RMNCH,NCD,FRP,UHC_Index,UHC_Tercile,SCA,Infectious_Diseases,RMNCH_norm,NCD_norm,FRP_norm,UHC_Index_norm,SCA_norm,Infectious_Diseases_norm,UHC_District,UHC_Poorest20,UHC_Rural,UHC_ReligMin,UHC_SCST,Service_Coverage,FRP_D,UHC_Index_D,Region,UHC_Gap,SCA_FRP_Gap,Equity_Gap_Poor,Equity_Gap_Rural,Equity_Gap_SCST,Equity_Gap_ReligMin,HC_Cluster,KM_Cluster
Assam,Lakhimpur,50.4,6.37,84.94,41.65,Medium UHC,57.5,79.89,0.4700803810657933,0.06286237412267318,0.8436117256637168,0.3543508608655187,0.5776868455891202,0.798314606741573,41.65,38.05,41.38,39.4,42.13,34.85,84.94,41.65,Northeast,58.35,-50.09,3.6,0.27,-0.48,2.25,1.0,0.0
Assam,Karimganj,53.71,13.5,86.6,46.04,Medium UHC,45.0,73.19,0.5193509973206311,0.2804394263045469,0.8665652654867257,0.4564913913448114,0.42724756288362015,0.7230337078651684,46.04,38.4,45.99,44.7,46.84,39.31,86.6,46.04,Northeast,53.96,-47.29,7.64,0.05,-0.8,1.34,3.0,1.0
Assam,Chirang,55.99,8.64,85.73,27.41,Low UHC,40.71,9.16,0.5532896695445073,0.13213304851998783,0.8545353982300887,0.023033969288040912,0.3756168010590925,0.003595505617977529,27.41,25.07,27.52,26.61,28.0,20.61,85.73,27.41,Northeast,72.59,-65.12,2.34,-0.11,-0.59,0.8,1.0,1.0
Assam,Sonitpur,58.29,7.91,86.5,42.3,Medium UHC,42.74,79.51,0.5875260494194701,0.10985657613671043,0.8651825221238938,0.3694741740344345,0.4000481405704657,0.7940449438202247,42.3,35.95,42.53,39.96,44.22,35.38,86.5,42.3,Northeast,57.7,-51.12,6.35,-0.23,-1.92,2.34,1.0,0.0
Assam,Tinsukia,49.8,8.3,72.76,41.85,Medium UHC,50.89,83.9,0.46114915153319436,0.12175770521818738,0.6751935840707965,0.3590041879944159,0.4981345528944518,0.8433707865168539,41.85,34.4,41.98,38.22,40.27,36.45,72.76,41.85,Northeast,58.15,-36.31,7.45,-0.13,1.58,3.63,1.0,1.0
Assam,West Karbi Anglong,42.56,8.48,77.52,39.35,Low UHC,47.92,70.37,0.3533789818398333,0.12725053402502293,0.7410121681415929,0.3008375988832015,0.462390179323625,0.6913483146067415,39.35,35.26,39.18,42.06,39.19,33.22,77.52,39.35,Northeast,60.65,-44.3,4.09,0.17,0.16,-2.71,1.0,1.0
Assam,Barpeta,48.8,10.09,77.71,42.66,Medium UHC,45.86,80.54,0.44626376897886266,0.17638083613060726,0.7436393805309736,0.37785016286644935,0.43759778553375855,0.80561797752809,42.66,35.92,43.06,42.1,39.95,36.72,77.71,42.66,Northeast,57.34,-40.99,6.74,-0.4,2.71,0.56,1.0,1.0
Assam,Dima Hasao,48.61,13.41,80.47,46.19,Medium UHC,57.05,70.21,0.44343554629353965,0.27769301190112916,0.7818030973451329,0.45998138669148436,0.5722710314117221,0.6895505617977526,46.19,36.97,43.42,47.2,46.23,40.2,80.47,46.19,Northeast,53.81,-40.27,9.22,2.77,-0.04,-1.01,3.0,1.0
Assam,Bongaigaon,44.01,9.16,82.34,40.08,Low UHC,36.68,84.92,0.37496278654361415,0.14800122062862378,0.8076603982300887,0.317822242903676,0.3271151763148393,0.8548314606741573,40.08,35.95,39.8,38.76,40.92,33.47,82.34,40.08,Northeast,59.92,-48.87,4.13,0.28,-0.84,1.32,1.0,1.0
Assam,Charaideo,52.49,5.95,77.44,40.6,Low UHC,53.57,85.23,0.5011908306043465,0.050045773573390295,0.7399059734513276,0.3299208934388087,0.5303887351065111,0.858314606741573,40.6,27.59,40.97,43.05,37.3,34.55,77.44,40.6,Northeast,59.4,-42.89,13.01,-0.37,3.3,-2.45,1.0,0.0
Bihar,Begusarai,47.12,5.11,49.25,34.58,Low UHC,49.76,83.73,0.42125632628758547,0.024412572474824534,0.3501106194690266,0.18985574685900408,0.4845348417378745,0.8414606741573033,34.58,31.06,33.4,32.18,34.74,31.65,49.25,34.58,East,65.42,-17.6,3.52,1.18,-0.16,2.4,1.0,1.0
Bihar,Darbhanga,51.96,9.19,59.79,41.48,Medium UHC,54.81,78.51,0.49330157785055073,0.1489166920964297,0.4958517699115044,0.35039553280595614,0.5453123119508967,0.7828089887640449,41.48,33.18,40.84,41.21,40.82,37.86,59.79,41.48,East,58.52,-21.93,8.3,0.64,0.66,0.27,1.0,1.0
Bihar,Vaishali,33.93,7.42,48.06,34.76,Low UHC,53.14,78.95,0.2249181303959511,0.09490387549588039,0.3336559734513275,0.19404374127501156,0.5252136237814418,0.787752808988764,34.76,28.46,34.91,34.55,34.55,32.06,48.06,34.76,East,65.24,-16.0,6.3,-0.15,0.21,0.21,1.0,1.0
Bihar,Araria,46.17,12.81,54.06,38.17,Low UHC,36.92,68.59,0.4071152128609705,0.2593835825450107,0.416620575221239,0.2733829688227082,0.33000361054278493,0.6713483146067416,38.17,30.95,37.57,34.78,36.68,34.99,54.06,38.17,East,61.83,-19.07,7.22,0.6,1.49,3.39,1.0,1.0
Bihar,Sheikhpura,62.03,8.72,34.46,35.04,Low UHC,37.22,76.15,0.6431973801726704,0.1345743057674703,0.1456028761061947,0.2005583992554676,0.3336141533277169,0.7562921348314606,35.04,25.76,34.88,32.98,34.74,35.19,34.46,35.04,East,64.96,0.73,9.28,0.16,0.3,2.06,1.0,1.0
Bihar,Patna,40.64,13.19,46.21,41.2,Low UHC,58.02,82.56,0.32479904733551646,0.27097955447055233,0.3080752212389381,0.3438808748255002,0.583945119749669,0.828314606741573,41.2,33.08,39.18,44.55,38.65,40.03,46.21,41.2,East,58.8,-6.18,8.12,2.02,2.55,-3.35,1.0,1.0
Bihar,Bhojpur,48.75,7.47,44.49,35.54,Low UHC,46.51,75.25,0.44551949985114614,0.09642966127555691,0.28429203539823017,0.21219171707771045,0.44542062823444456,0.7461797752808988,35.54,28.77,35.23,35.16,34.5,33.6,44.49,35.54,East,64.46,-10.89,6.77,0.31,1.04,0.38,1.0,1.0
